Info,Warning,dateTime
189,0,2013-04-10 07:02:00
15868,0,2013-04-10 07:04:00
18992,0,2013-04-10 07:06:00
18680,0,2013-04-10 07:08:00
19074,0,2013-04-10 07:10:00
15961,0,2013-04-10 07:12:00
21397,0,2013-04-10 07:14:00
19671,0,2013-04-10 07:16:00
19131,0,2013-04-10 07:18:00
18602,0,2013-04-10 07:20:00
19096,0,2013-04-10 07:22:00
18850,0,2013-04-10 07:24:00
17812,0,2013-04-10 07:26:00
18181,0,2013-04-10 07:28:00
17773,0,2013-04-10 07:30:00
17827,0,2013-04-10 07:32:00
17573,0,2013-04-10 07:34:00
18043,0,2013-04-10 07:36:00
16939,0,2013-04-10 07:38:00
17616,0,2013-04-10 07:40:00
17923,0,2013-04-10 07:42:00
23480,0,2013-04-10 07:44:00
22923,0,2013-04-10 07:46:00
21068,0,2013-04-10 07:48:00
10259,0,2013-04-10 07:50:00
5225,0,2013-04-10 07:52:00
4564,0,2013-04-10 07:54:00
3390,0,2013-04-10 07:56:00
2309,0,2013-04-10 07:58:00
2280,0,2013-04-10 08:00:00
2055,0,2013-04-10 08:02:00
2292,0,2013-04-10 08:04:00
1359,0,2013-04-10 08:06:00
2607,0,2013-04-10 08:08:00
2320,0,2013-04-10 08:10:00
1797,0,2013-04-10 08:12:00
1019,0,2013-04-10 08:14:00
1700,0,2013-04-10 08:16:00
2011,0,2013-04-10 08:18:00
1959,0,2013-04-10 08:20:00
1259,0,2013-04-10 08:22:00
686,0,2013-04-10 08:24:00
507,0,2013-04-10 08:26:00
452,0,2013-04-10 08:28:00
504,0,2013-04-10 08:30:00
571,0,2013-04-10 08:32:00
1629,0,2013-04-10 08:34:00
546,0,2013-04-10 08:36:00
1430,0,2013-04-10 08:38:00
491,0,2013-04-10 08:40:00
776,0,2013-04-10 08:42:00
3616,0,2013-04-10 08:44:00
4232,0,2013-04-10 08:46:00
3652,0,2013-04-10 08:48:00
2549,0,2013-04-10 08:50:00
1609,0,2013-04-10 08:52:00
1459,0,2013-04-10 08:54:00
1011,0,2013-04-10 08:56:00
654,0,2013-04-10 08:58:00
631,0,2013-04-10 09:00:00
362,0,2013-04-10 09:02:00
540,0,2013-04-10 09:04:00
426,0,2013-04-10 09:06:00
363,0,2013-04-10 09:08:00
456,0,2013-04-10 09:10:00
413,0,2013-04-10 09:12:00
550,0,2013-04-10 09:14:00
438,0,2013-04-10 09:16:00
311,0,2013-04-10 09:18:00
373,0,2013-04-10 09:20:00
312,0,2013-04-10 09:22:00
313,0,2013-04-10 09:24:00
310,0,2013-04-10 09:26:00
274,0,2013-04-10 09:28:00
346,0,2013-04-10 09:30:00
304,0,2013-04-10 09:32:00
