time,NCon,NVol,srcip,destip,srcport,destport
2013-04-10 07:05:00,11547,4.972789,39.414294,14.235422,46.623523,0.0
2013-04-10 07:10:00,23647,10.224252,21.599628,7.799981,28.335872,0.07715
2013-04-10 07:15:00,23470,13.711253,21.541772,7.983841,28.72136,0.341658
2013-04-10 07:20:00,23986,19.751472,21.205307,7.966951,28.799534,0.534997
2013-04-10 07:25:00,23485,18.607584,21.38515,8.030098,29.310954,0.581955
2013-04-10 07:30:00,22305,17.071364000000003,22.588891,8.548811,31.097286,0.743107
2013-04-10 07:35:00,22163,17.969572,22.569932,8.638405,31.227892,0.97826
2013-04-10 07:40:00,21706,18.405007,23.095265,8.830609,31.795864,0.972512
2013-04-10 07:45:00,30228,61.469688,19.123775,7.175675,26.814642,0.527111
2013-04-10 07:50:00,32120,170.998796,23.666501,8.788493,32.699677,0.49696
2013-04-10 07:55:00,8455,554.599934,75.344271,32.824274,109.187373,2.652413
2013-04-10 08:00:00,3707,653.8079309999999,136.468235,65.014245,193.109293,6.345789
2013-04-10 08:05:00,2816,409.96912799999996,154.246728,78.793503,227.234828,7.60296
2013-04-10 08:10:00,3908,152.964751,139.120977,70.381949,206.782598,6.396309
2013-04-10 08:15:00,1941,51.454544,194.540137,117.991823,307.485797,17.425027
2013-04-10 08:20:00,2476,70.448279,123.344477,76.974769,227.003103,8.485449
2013-04-10 08:25:00,1146,30.956692999999998,252.062261,186.216923,461.447736,27.945671
2013-04-10 08:30:00,608,11.666716000000001,429.327979,346.36077,761.410764,59.351935
2013-04-10 08:35:00,2831,9.918219,271.55008,169.958977,430.212149,22.939638
2013-04-10 08:40:00,2535,9.282295,301.478394,193.243889,484.569079,35.87564
2013-04-10 08:45:00,709,8.093966,147.62414,61.787099,194.306091,3.632897
2013-04-10 08:50:00,809,10.459347,112.898465,46.165504,149.785108,2.511368
2013-04-10 08:55:00,567,7.8582399999999994,225.481904,113.827923,318.310794,13.226382
2013-04-10 09:00:00,547,7.672027000000001,380.634943,238.049364,576.26214,40.477759
2013-04-10 09:05:00,429,6.384646,560.921128,380.349241,849.53251,63.077042
2013-04-10 09:10:00,435,6.336906,536.541482,407.966186,874.612023,65.684742
2013-04-10 09:15:00,482,6.6053820000000005,503.049141,366.439867,796.770997,67.275961
2013-04-10 09:20:00,431,5.808055,547.853679,456.331608,974.672279,87.871749
2013-04-10 09:25:00,388,5.618546,649.018639,538.140351,1131.851057,100.246079
2013-04-10 09:30:00,402,5.423589,621.792407,506.459176,1083.561123,95.444807
2013-04-10 09:35:00,364,5.000505,666.682943,525.519623,1128.867702,101.917491
2013-04-10 09:40:00,331,4.723578,783.370638,671.676091,1296.996275,131.072268
2013-04-10 09:45:00,360,4.615479,660.738784,533.905142,1117.629628,96.578058
2013-04-10 09:50:00,370,4.777285,676.091562,572.100574,1153.019726,103.949561
2013-04-10 09:55:00,373,5.271538,663.765002,562.154618,1139.346639,103.162136
2013-04-10 10:00:00,382,5.70983,667.329821,570.346812,1139.07966,110.594232
2013-04-10 10:05:00,381,5.832558000000001,637.639609,547.74126,1110.924568,95.754695
2013-04-10 10:10:00,379,6.01828,631.37608,547.30292,1114.019308,93.379613
2013-04-10 10:15:00,396,6.312441000000001,609.906216,536.679856,1085.63439,93.072335
2013-04-10 10:20:00,454,6.584460000000001,549.404404,466.300476,983.960211,76.637635
2013-04-10 10:25:00,408,7.084034,587.186713,525.410103,1071.18431,87.639051
2013-04-10 10:30:00,461,7.446662,516.835037,448.588253,942.304546,72.807632
2013-04-10 10:35:00,462,7.542062,535.815421,463.198648,971.705894,76.75273
2013-04-10 10:40:00,474,7.964361,505.404822,438.52749,928.937984,67.570472
2013-04-10 10:45:00,471,8.383197000000001,517.181244,451.808375,960.191034,73.728241
2013-04-10 10:50:00,474,8.498897,489.660749,430.991314,915.585187,66.668392
2013-04-10 10:55:00,521,8.430414,458.762863,408.849549,870.108175,62.38758
2013-04-10 11:00:00,501,8.531526,484.418279,421.151607,902.588042,66.707181
2013-04-10 11:05:00,485,8.532346,480.527694,428.158247,910.551515,63.814077
