dateTime,priority,operation,messageCode,protocol,SrcIp,destIp,srcPort,destPort,destService,direction,flags,command
2013-04-14 02:13:27,Info,Teardown,ASA-6-302014,TCP,10.0.3.77,172.10.0.3,58859,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:13:32,Info,Teardown,ASA-6-302014,TCP,10.89.101.53,172.10.0.3,58867,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:13:34,Info,Built,ASA-6-302013,TCP,10.0.3.77,172.20.0.3,58883,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:40,Info,Built,ASA-6-302013,TCP,10.38.37.229,172.20.0.3,58891,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:44,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.3,58901,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:44,Info,Teardown,ASA-6-302014,TCP,10.0.3.77,172.20.0.3,58883,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:13:46,Info,Built,ASA-6-302013,TCP,10.13.77.4,172.10.0.9,58908,80,http,inbound,(empty),(empty)
2013-04-14 02:13:46,Info,Teardown,ASA-6-302014,TCP,10.13.77.4,172.10.0.9,58908,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:48,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58912,80,http,inbound,(empty),(empty)
2013-04-14 02:13:48,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58912,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:50,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58921,80,http,inbound,(empty),(empty)
2013-04-14 02:13:50,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58921,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:50,Info,Teardown,ASA-6-302014,TCP,10.38.37.229,172.20.0.3,58891,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:13:51,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.10.0.3,58927,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:51,Info,Built,ASA-6-302013,TCP,10.179.19.15,172.30.0.3,58930,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:52,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58933,80,http,inbound,(empty),(empty)
2013-04-14 02:13:52,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58933,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:53,Info,Built,ASA-6-302013,TCP,10.0.2.181,172.20.0.3,58937,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:54,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58945,80,http,inbound,(empty),(empty)
2013-04-14 02:13:54,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58945,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:54,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.3,58901,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:13:56,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58955,80,http,inbound,(empty),(empty)
2013-04-14 02:13:56,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58955,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:57,Info,Built,ASA-6-302013,TCP,10.88.52.24,172.10.0.3,58959,25,smtp,inbound,(empty),(empty)
2013-04-14 02:13:58,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58968,80,http,inbound,(empty),(empty)
2013-04-14 02:13:58,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58968,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:13:59,Info,Built,ASA-6-302013,TCP,10.13.77.4,172.20.0.3,58972,25,smtp,inbound,(empty),(empty)
2013-04-14 02:14:00,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58980,80,http,inbound,(empty),(empty)
2013-04-14 02:14:00,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58980,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:01,Info,Teardown,ASA-6-302014,TCP,10.77.101.2,172.10.0.3,58927,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:14:01,Info,Teardown,ASA-6-302014,TCP,10.179.19.15,172.30.0.3,58930,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:14:02,Info,Built,ASA-6-302013,TCP,10.27.200.49,172.10.0.4,58990,80,http,inbound,(empty),(empty)
2013-04-14 02:14:02,Info,Teardown,ASA-6-302014,TCP,10.27.200.49,172.10.0.4,58990,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:03,Info,Teardown,ASA-6-302014,TCP,10.0.2.181,172.20.0.3,58937,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:14:07,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.30.0.4,59002,80,http,inbound,(empty),(empty)
2013-04-14 02:14:07,Info,Teardown,ASA-6-302014,TCP,10.77.101.2,172.30.0.4,59002,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:07,Info,Teardown,ASA-6-302014,TCP,10.88.52.24,172.10.0.3,58959,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:14:09,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.30.0.4,59007,80,http,inbound,(empty),(empty)
2013-04-14 02:14:09,Info,Teardown,ASA-6-302014,TCP,10.77.101.2,172.30.0.4,59007,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:09,Info,Teardown,ASA-6-302014,TCP,10.13.77.4,172.20.0.3,58972,25,smtp,inbound,TCP FINs,(empty)
2013-04-14 02:14:11,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.30.0.4,59010,80,http,inbound,(empty),(empty)
2013-04-14 02:14:11,Info,Teardown,ASA-6-302014,TCP,10.77.101.2,172.30.0.4,59010,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:13,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.30.0.4,59014,80,http,inbound,(empty),(empty)
2013-04-14 02:14:13,Info,Teardown,ASA-6-302014,TCP,10.77.101.2,172.30.0.4,59014,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:14,Info,Built,ASA-6-302013,TCP,10.0.125.6,172.10.0.3,59018,25,smtp,inbound,(empty),(empty)
2013-04-14 02:14:15,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.30.0.4,59021,80,http,inbound,(empty),(empty)
2013-04-14 02:14:15,Info,Teardown,ASA-6-302014,TCP,10.77.101.2,172.30.0.4,59021,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:16,Info,Built,ASA-6-302013,TCP,10.0.3.77,172.30.0.4,59024,80,http,inbound,(empty),(empty)
2013-04-14 02:14:16,Info,Teardown,ASA-6-302014,TCP,10.0.3.77,172.30.0.4,59024,80,http,inbound,TCP FINs,(empty)
2013-04-14 02:14:17,Info,Built,ASA-6-302013,TCP,10.77.101.2,172.30.0.4,59029,80,http,inbound,(empty),(empty)
