time,totalbytes,cpu_load,priority,status,NCon,NVol,srcip_entropy,destip_entropy,srcport_entropy,destport_entropy
2013-04-10 07:05:00,451.34726500000005,1.004858,1.0,0.0048579999999999995,11547,4.972789,39.414294,14.235422,46.623523,0
2013-04-10 07:10:00,453.04895899999997,1.001994,1.0,0.004653,23647,10.224252,21.599628,7.799981,28.335872,0.07715
2013-04-10 07:15:00,612.518144,1.002476,1.0,0.0033020000000000002,23470,13.711253,21.541772,7.983841,28.72136,0.341658
2013-04-10 07:20:00,863.8119839999999,1.0030299999999999,1.0,0.005195,23986,19.751472,21.205307,7.966951,28.799534,0.534997
2013-04-10 07:25:00,830.4560730000001,1.002774,1.0,0.010702,23485,18.607584,21.38515,8.030098,29.310954,0.581955
2013-04-10 07:30:00,802.335828,1.002674,1.0,0.006016,22305,17.071364000000003,22.588891,8.548811,31.097286,0.743107
2013-04-10 07:35:00,849.776881,1.002324,1.0,0.0059759999999999995,22163,17.969572,22.569932,8.638405,31.227892,0.97826
2013-04-10 07:40:00,889.043512,1.002974,1.0,0.004627,21706,18.405007,23.095265,8.830609,31.795864,0.972512
2013-04-10 07:45:00,2131.242784,1.003328,1.0,0.007903,30228,61.469688,19.123775,7.175675,26.814642,0.527111
2013-04-10 07:50:00,5580.308384,1.0036479999999999,1.0,0.008338,32120,170.998796,23.666501,8.788493,32.699677,0.49696
2013-04-10 07:55:00,68675.67512999999,1.005287,1.0,0.006798,8455,554.599934,75.344271,32.824274,109.187373,2.652413
2013-04-10 08:00:00,184391.87816,1.006478,1.0,0.005668,3707,653.8079309999999,136.468235,65.014245,193.109293,6.345789
2013-04-10 08:05:00,61459.09048099999,1.00724,1.0,0.007240000000000001,2816,409.96912799999996,154.246728,78.793503,227.234828,7.60296
2013-04-10 08:10:00,24886.674919,1.165182,1.0,0.005483,3908,152.964751,139.120977,70.381949,206.782598,6.396309
2013-04-10 08:15:00,8410.495623,1.870968,1.0,0.004744,1941,51.454544,194.540137,117.991823,307.485797,17.425027
2013-04-10 08:20:00,29584.717261,2.2633900000000002,1.0,0.004417,2476,70.448279,123.344477,76.974769,227.003103,8.485449
2013-04-10 08:25:00,27939.577452999998,1.549396,1.0,0.004975,1146,30.956692999999998,252.062261,186.216923,461.447736,27.945671
2013-04-10 08:30:00,19958.401305,1.651888,1.0,0.006568000000000001,608,11.666716000000001,429.327979,346.36077,761.410764,59.351935
2013-04-10 08:35:00,1291.34895,1.663295,1.0,0.004335,2831,9.918219,271.55008,169.958977,430.212149,22.939638
2013-04-10 08:40:00,3819.755983,2.026163,1.0,0.0050869999999999995,2535,9.282295,301.478394,193.243889,484.569079,35.87564
2013-04-10 08:45:00,3972.4040579999996,2.895317,1.0,0.003214,709,8.093966,147.62414,61.787099,194.306091,3.632897
2013-04-10 08:50:00,12194.543743,2.273982,1.0,0.004141,809,10.459347,112.898465,46.165504,149.785108,2.511368
2013-04-10 08:55:00,14095.413675,2.270718,1.0,0.006314,567,7.8582399999999994,225.481904,113.827923,318.310794,13.226382
2013-04-10 09:00:00,14192.414462,1.7161540000000002,1.0,0.005385,547,7.672027000000001,380.634943,238.049364,576.26214,40.477759
2013-04-10 09:05:00,15427.834100999999,1.8166380000000002,1.0,0.005093,429,6.384646,560.921128,380.349241,849.53251,63.077042
2013-04-10 09:10:00,14643.848018,2.043269,1.0,0.005609,435,6.336906,536.541482,407.966186,874.612023,65.684742
2013-04-10 09:15:00,14165.948875,2.8658650000000003,1.0,0.002775,482,6.6053820000000005,503.049141,366.439867,796.770997,67.275961
2013-04-10 09:20:00,13629.604027000001,2.364888,1.0,0.007745,431,5.808055,547.853679,456.331608,974.672279,87.871749
2013-04-10 09:25:00,14453.745098,2.1342529999999997,1.0,0.0050799999999999994,388,5.618546,649.018639,538.140351,1131.851057,100.246079
2013-04-10 09:30:00,13642.472422,2.145051,1.0,0.005118999999999999,402,5.423589,621.792407,506.459176,1083.561123,95.444807
2013-04-10 09:35:00,13556.064599000001,1.83247,1.0,0.006045,364,5.000505,666.682943,525.519623,1128.867702,101.917491
2013-04-10 09:40:00,14530.900293,2.20434,1.0,0.004521,331,4.723578,783.370638,671.676091,1296.996275,131.072268
2013-04-10 09:45:00,12777.039578,2.834093,1.0,0.0022789999999999998,360,4.615479,660.738784,533.905142,1117.629628,96.578058
2013-04-10 09:50:00,13289.429708,2.3255209999999997,1.0,0.003906,370,4.777285,676.091562,572.100574,1153.019726,103.949561
2013-04-10 09:55:00,13766.514925,2.166415,1.0,0.003026,373,5.271538,663.765002,562.154618,1139.346639,103.162136
2013-04-10 10:00:00,14435.173494,2.0663970000000003,1.0,0.0048579999999999995,382,5.70983,667.329821,570.346812,1139.07966,110.594232
2013-04-10 10:05:00,15409.700252,1.8185799999999999,1.0,0.0035060000000000004,381,5.832558000000001,637.639609,547.74126,1110.924568,95.754695
2013-04-10 10:10:00,15515.687961000001,2.005431,1.0,0.003879,379,6.01828,631.37608,547.30292,1114.019308,93.379613
2013-04-10 10:15:00,16386.267327,2.904649,1.0,0.002846,396,6.312441000000001,609.906216,536.679856,1085.63439,93.072335
2013-04-10 10:20:00,14851.972043000002,2.4277729999999997,1.0,0.003192,454,6.584460000000001,549.404404,466.300476,983.960211,76.637635
2013-04-10 10:25:00,17739.918854,2.3219119999999998,1.0,0.00541,408,7.084034,587.186713,525.410103,1071.18431,87.639051
2013-04-10 10:30:00,16511.634249000002,2.003118,1.0,0.005456,461,7.446662,516.835037,448.588253,942.304546,72.807632
2013-04-10 10:35:00,16379.080745,1.843941,1.0,0.002616,462,7.542062,535.815421,463.198648,971.705894,76.75273
2013-04-10 10:40:00,17222.074227,2.009419,1.0,0.005495,474,7.964361,505.404822,438.52749,928.937984,67.570472
2013-04-10 10:45:00,17674.01004,2.899341,1.0,0.002352,471,8.383197000000001,517.181244,451.808375,960.191034,73.728241
2013-04-10 10:50:00,18567.958333000002,2.332235,1.0,0.003954999999999999,474,8.498897,489.660749,430.991314,915.585187,66.668392
2013-04-10 10:55:00,16532.007477000003,2.136232,1.0,0.005072,521,8.430414,458.762863,408.849549,870.108175,62.38758
2013-04-10 11:00:00,17442.8577,2.073579,1.0,0.004181,501,8.531526,484.418279,421.151607,902.588042,66.707181
2013-04-10 11:05:00,18150.085193,1.824786,1.0,0.004274,485,8.532346,480.527694,428.158247,910.551515,63.814077
2013-04-10 11:10:00,19496.296451,1.985793,1.0,0.005525,464,8.903588000000001,503.068519,460.613484,972.814583,73.312839
2013-04-10 11:15:00,19788.248936,2.829923,1.0,0.001819,458,8.867719000000001,498.806515,454.745439,959.152765,72.386769
2013-04-10 11:20:00,18635.784274,2.546667,1.0,0.00549,489,8.813684,471.072216,416.361525,898.233221,65.183508
2013-04-10 11:25:00,17571.35614,2.188108,1.0,0.006486,560,9.547624,431.045969,374.121527,826.966247,54.532156
2013-04-10 11:30:00,18271.051188,2.117029,1.0,0.003751,539,9.529418,442.904301,388.520022,846.817115,54.792247
2013-04-10 11:35:00,19049.392233000002,1.8228810000000002,1.0,0.005932,506,9.354383,451.323616,407.096872,878.037326,58.017604
2013-04-10 11:40:00,19805.606855,2.03231,1.0,0.0032310000000000004,488,9.367356,475.96269,434.512502,923.826186,67.124755
2013-04-10 11:45:00,19472.18985,2.870483,1.0,0.002816,507,9.875535000000001,442.546798,411.244006,879.28772,60.594686
2013-04-10 11:50:00,19933.227099,2.3307189999999998,1.0,0.003922,517,9.960421,448.122477,408.353829,882.376058,58.65768
2013-04-10 11:55:00,19751.414258,1.989883,1.0,0.0038909999999999995,505,9.773764,442.451232,397.857828,878.662073,59.793536
2013-04-10 12:00:00,19550.795993,2.142857,1.0,0.003626,535,10.231522,420.814387,372.279677,831.890446,55.147604
2013-04-10 12:05:00,18748.049658,1.949627,1.0,0.0037310000000000004,576,10.440599,415.748485,369.155053,817.734178,53.135737
2013-04-10 12:10:00,20254.797468,2.019017,1.0,0.0047539999999999995,537,10.679504,426.108751,386.508347,848.413992,56.945632
2013-04-10 12:15:00,20397.145038,3.014985,1.0,0.0034969999999999997,509,10.190821000000001,443.896272,399.13381,887.20434,59.229579
